datetime,latitude,longitude,temp_kelvin,power,confidence
2015-03-06T05:00:00,-15.6,128.6,311.5,5.4,0
2015-03-10T00:00:00,-37.9,143.4,315.2,5.4,43
2015-03-17T05:00:00,-17.3,135.9,327.8,5.4,63
2015-03-20T03:00:00,-35.4,145.3,315.6,5.4,64
2015-03-21T14:00:00,-18.4,125.9,307.5,5.4,55
2015-04-05T05:00:00,-31.7,115.9,314.8,5.4,53
2015-04-05T05:00:00,-18.6,130.9,320.4,5.4,45
2015-04-09T02:00:00,-17,125,314.3,5.4,57
2015-04-09T03:00:00,-35.7,145.8,310.4,5.4,27
2015-04-15T04:00:00,-16.2,127.3,318.1,5.4,43
2015-04-16T03:00:00,-35.3,147.2,313.1,5.4,57
2015-04-22T01:00:00,-29.1,115.3,310.6,5.4,41
2015-04-22T04:00:00,-36.4,141.7,310.7,5.4,42
2015-04-23T03:00:00,-36.4,144.8,311,5.4,44
2015-04-27T02:00:00,-15.9,129.2,314.4,5.4,53
2015-04-28T01:00:00,-15.4,128.6,311,5.4,35
2015-04-29T00:00:00,-28.9,147.6,312.5,5.4,51
2015-04-30T01:00:00,-15.1,128.8,311.1,5.4,42
2015-05-02T05:00:00,-14.2,130.7,313.9,5.4,32
2015-05-02T05:00:00,-13,132.4,313.2,5.4,57
2015-05-04T05:00:00,-16,136.3,319.9,5.4,58
2015-05-04T05:00:00,-15,130.2,319.6,5.4,17
2015-05-08T01:00:00,-14.3,134.6,312.6,5.4,38
2015-05-12T05:00:00,-19.7,127.9,315.3,5.4,61
2015-05-15T00:00:00,-15,144.1,310.7,5.4,41
2015-05-16T03:00:00,-29.3,149,312.6,5.4,35
2015-05-23T01:00:00,-13,131.3,313,5.4,46
2015-05-23T05:00:00,-14.5,126.1,316.5,5.4,54
2015-05-24T00:00:00,-16.9,138.9,310.1,5.4,27
2015-05-26T04:00:00,-11.4,132,310.1,5.4,16
2015-05-31T04:00:00,-16.4,125.3,314.4,5.4,42
2015-06-05T05:00:00,-12.6,133.7,311.7,5.4,46
2015-06-07T04:00:00,-13,131.3,315.9,5.4,51
2015-06-09T01:00:00,-12.7,131.5,312.6,5.4,40
2015-06-23T02:00:00,-13.8,130.1,310.8,5.4,25
2015-06-29T04:00:00,-12.4,135.8,313.6,5.4,50
2015-07-15T01:00:00,-12.4,134.1,310.7,5.4,23
2015-07-23T00:00:00,-12.9,141.7,311.8,5.4,25
2015-08-07T04:00:00,-20.2,130,312.3,5.4,42
2015-08-11T01:00:00,-14.8,141.9,315.2,5.4,36
2015-08-15T05:00:00,-20.1,130,315.4,5.4,55
2015-08-29T01:00:00,-12.3,136.9,311.9,5.4,0
2015-08-29T03:00:00,-12.5,136.6,313.6,5.4,34
2015-08-30T01:00:00,-12.4,136.4,315.3,5.4,14
2015-09-11T04:00:00,-13.8,130.7,325.5,5.4,42
2015-10-14T13:00:00,-13.3,132.6,306,5.4,22
2015-10-16T03:00:00,-30,153.1,310.4,5.4,32
2015-10-22T14:00:00,-13.4,132.8,305.2,5.4,22
2015-10-24T13:00:00,-17.3,125,307.4,5.4,36
2015-10-24T14:00:00,-17.3,124.6,307.2,5.4,5
2015-10-28T13:00:00,-19.8,135.3,308.1,5.4,17
2015-10-28T13:00:00,-17.4,131,305.4,5.4,30
2015-11-02T06:00:00,-31.8,115.8,314.7,5.4,20
2015-11-02T13:00:00,-16.2,126.2,306.2,5.4,10
2015-11-08T13:00:00,-14.7,132.4,306.7,5.4,35
2015-11-10T13:00:00,-18.4,136.9,308.1,5.4,20
2015-11-18T00:00:00,-30.9,151.7,310.4,5.4,38
2015-11-19T12:00:00,-16.6,134.6,306.8,5.4,49
2015-11-21T12:00:00,-14.8,143.9,305.4,5.4,31
2015-11-22T04:00:00,-24.6,151.6,314.8,5.4,45
2015-11-26T13:00:00,-16.4,142.6,308.4,5.4,39
2015-11-26T14:00:00,-27.6,115.5,305.5,5.4,13
2015-11-26T14:00:00,-15.5,127.4,307.5,5.4,35
2015-11-27T13:00:00,-15.4,134.3,305.2,5.4,21
2015-11-28T12:00:00,-16.6,137.8,307,5.4,17
2015-11-28T14:00:00,-17.1,125.4,308.7,5.4,26
2015-11-29T16:00:00,-17.1,128.6,307.3,5.4,49
2015-11-30T00:00:00,-37.7,144.9,320,5.4,48
2015-11-30T12:00:00,-16,141.6,305.5,5.4,25
2015-12-08T01:00:00,-15.3,145,310.7,5.4,28
2015-12-14T02:00:00,-21.3,128.3,319.5,5.4,43
2015-12-20T06:00:00,-31.9,115.9,326.4,5.4,46
2015-12-23T00:00:00,-26.4,150.9,311.8,5.4,42
2015-01-08T02:00:00,-31.9,115.9,318,5.5,69
2015-01-12T12:00:00,-22.7,146.9,307.3,5.5,53
2015-02-10T00:00:00,-23.3,149.4,314.4,5.5,37
2015-02-14T05:00:00,-31.8,115.8,318.5,5.5,46
2015-02-19T13:00:00,-17.5,126.1,308.7,5.5,59
2015-03-17T14:00:00,-21.7,121.9,306.3,5.5,16
2015-03-26T02:00:00,-33.9,118.7,311.9,5.5,52
2015-03-28T06:00:00,-31.2,116.9,317,5.5,48
2015-03-30T17:00:00,-17.4,127.9,305.9,5.5,36
2015-04-01T05:00:00,-33.4,117,317.5,5.5,63
2015-04-02T00:00:00,-28.6,149.9,313.6,5.5,43
2015-04-10T04:00:00,-36.7,144.1,316.1,5.5,65
2015-04-13T00:00:00,-19.2,146.1,310.1,5.5,16
2015-04-17T06:00:00,-31.1,116.8,317,5.5,67
2015-04-17T13:00:00,-15.7,128,305.8,5.5,26
2015-04-19T13:00:00,-15.8,131.3,306.8,5.5,3
2015-04-21T03:00:00,-16.1,134.7,312,5.5,47
2015-04-21T05:00:00,-33.5,118.1,314.6,5.5,62
2015-04-22T02:00:00,-16.9,126.2,312,5.5,33
2015-04-22T06:00:00,-33.8,119.1,311.7,5.5,47
2015-05-02T05:00:00,-15.5,131.3,320.6,5.5,34
2015-05-04T00:00:00,-15.5,134.1,312.2,5.5,43
2015-05-06T02:00:00,-16.5,126.4,314.2,5.5,60
2015-05-06T04:00:00,-16.4,123,310.4,5.5,13
2015-05-06T04:00:00,-14.1,132.8,319.8,5.5,64
2015-05-07T01:00:00,-16.9,127.9,313,5.5,43
2015-05-08T01:00:00,-16.4,126.2,316.4,5.5,50
2015-05-08T06:00:00,-30.6,115.9,311.6,5.5,37
2015-05-09T05:00:00,-15.1,128.3,321.2,5.5,42
2015-05-11T02:00:00,-16.5,127.1,313,5.5,43
2015-05-13T03:00:00,-15.4,144.5,311.3,5.5,48
2015-05-13T04:00:00,-14.9,130.5,321.9,5.5,50
2015-05-16T01:00:00,-15.6,135.1,315.1,5.5,26
2015-05-23T01:00:00,-18.6,133.2,311.7,5.5,30
2015-05-24T01:00:00,-15.1,135.3,311.5,5.5,30
2015-05-24T02:00:00,-13.3,133.2,312.9,5.5,43
2015-05-25T05:00:00,-13.6,132.1,314.1,5.5,41
2015-05-31T02:00:00,-17,124.8,315.4,5.5,49
2015-06-04T01:00:00,-20.4,131.5,312.4,5.5,54
2015-06-06T04:00:00,-14.4,135.5,314.4,5.5,23
2015-06-17T03:00:00,-15,141.9,311.9,5.5,41
2015-06-19T05:00:00,-12,132.7,314.4,5.5,0
2015-06-20T04:00:00,-16,128.4,313.2,5.5,34
2015-06-27T04:00:00,-13.7,133.6,312.1,5.5,52
2015-06-28T02:00:00,-14.5,127,310.5,5.5,26
2015-07-01T01:00:00,-18.3,131.4,310.8,5.5,32
2015-07-04T04:00:00,-13.7,133.2,314.9,5.5,54
2015-07-05T00:00:00,-16.1,136.3,314.2,5.5,57
2015-07-11T01:00:00,-14.5,135.1,314,5.5,41
2015-07-11T01:00:00,-13.4,131.1,316.8,5.5,56
2015-07-15T01:00:00,-14.5,134.9,311.9,5.5,21
2015-07-20T04:00:00,-15.5,128.8,317.6,5.5,59
2015-07-21T01:00:00,-12.6,135.3,311.5,5.5,38
2015-07-21T05:00:00,-12.5,131.2,314,5.5,56
2015-07-26T01:00:00,-14.8,126.4,312.9,5.5,52
2015-08-01T05:00:00,-13.9,133.4,316.6,5.5,38
2015-08-04T01:00:00,-14.5,132.7,312.6,5.5,44
2015-08-04T01:00:00,-14.3,131.4,310.4,5.5,32
2015-08-06T00:00:00,-13.6,132,311.2,5.5,34
2015-08-15T05:00:00,-12.6,136.2,310.1,5.5,20
2015-08-16T01:00:00,-19.9,130.6,315.4,5.5,34
2015-08-16T01:00:00,-19.3,130.4,315.1,5.5,57
2015-09-18T14:00:00,-16.1,128.6,305.2,5.5,23
2015-09-23T05:00:00,-13.8,130.1,324.8,5.5,64
2015-10-07T03:00:00,-25.1,151.8,312.5,5.5,24
2015-10-14T13:00:00,-13.8,132.3,305.9,5.5,39
2015-10-25T13:00:00,-18.6,142.8,308,5.5,58
2015-10-26T05:00:00,-31.9,115.9,322.3,5.5,65
2015-10-26T13:00:00,-16.5,124.2,305.9,5.5,34
2015-11-01T14:00:00,-17.7,124.6,306.5,5.5,46
2015-11-02T13:00:00,-17,133.5,308.3,5.5,12
2015-11-02T13:00:00,-15.9,133.1,305.8,5.5,34
2015-11-13T04:00:00,-37.8,144.8,315.9,5.5,25
2015-11-15T16:00:00,-14.9,132.7,305.6,5.5,14
2015-11-16T14:00:00,-15.6,124.6,307.7,5.5,51
2015-11-16T14:00:00,-14.8,132.8,305.1,5.5,19
2015-11-19T03:00:00,-24.6,151.1,316.1,5.5,30
2015-11-19T03:00:00,-23.2,150.1,322.6,5.5,43
2015-11-21T16:00:00,-18.4,142.7,307.7,5.5,23
2015-11-23T14:00:00,-16.9,132.6,306.7,5.5,44
2015-11-24T13:00:00,-16.7,137.8,307.4,5.5,54
2015-11-26T13:00:00,-18.9,142.5,308.8,5.5,50
2015-11-27T13:00:00,-16.7,132.7,306.7,5.5,37
2015-11-28T00:00:00,-37.7,144.9,315.9,5.5,50
2015-11-29T13:00:00,-14.8,125.9,307.4,5.5,44
2015-12-05T12:00:00,-15.2,144.2,306.1,5.5,41
2015-12-11T00:00:00,-33.3,149.1,317.2,5.5,25
2015-01-26T17:00:00,-23.4,116.8,307.6,5.6,40
2015-02-02T03:00:00,-19,146.1,310.5,5.6,39
